,countryiso3code,country.value,GDP per capita (current US$),GDP (current US$),"Population, total",Population growth (annual %),"School enrollment, tertiary (% gross)","Life expectancy at birth, total (years)",High-technology exports (% of manufactured exports),Research and development expenditure (% of GDP),"International tourism, number of arrivals","International tourism, number of departures",Refugee population by country or territory of origin,Refugee population by country or territory of asylum,"Inflation, consumer prices (annual %)","Official exchange rate (LCU per US$, period average)",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Gini index (World Bank estimate),CO2 emissions (kg per PPP $ of GDP),Energy use (kg of oil equivalent per capita),Trade (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)",year,region,country,incomeLevel
0,AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,2020,South Asia,Afghanistan,Low income
1,AFG,Afghanistan,502.115486913067,19101353832.7371,38041754.0,2.31181721714573,,,,,,,2728853.0,72227.0,2.30237251516844,77.7379491783367,,,,,45.6211771200758,23404553.647249,2019,South Asia,Afghanistan,Low income
2,AFG,Afghanistan,524.162880925404,19484384936.6312,37172386.0,2.38476110022344,9.68642044067383,64.486,,,,,2681267.0,72228.0,0.626149149168811,72.083247177304,,,,,49.235892379186,119435105.715177,2018,South Asia,Afghanistan,Low income
3,AFG,Afghanistan,556.30200240406,20191760000.0587,36296400.0,2.54834664435549,,64.13,,,,,2624265.0,75927.0,4.9759515055383,68.0269040822312,,,,,45.1141950449202,51533896.765,2017,South Asia,Afghanistan,Low income
4,AFG,Afghanistan,547.228110150363,19362642266.6484,35383128.0,2.77831740938728,,63.763,,,,,2501447.0,59770.0,4.38389195513914,67.8660857692308,,,0.115125787152592,,43.7104097857659,93591315.3,2016,South Asia,Afghanistan,Low income
5,AFG,Afghanistan,578.466352941708,19907111418.9938,34413603.0,3.07708359546317,,63.377,,,,,2666294.0,257553.0,-0.661709164713696,61.1434615416667,,,0.125786921534627,,49.6254079538462,169146608.0,2015,South Asia,Afghanistan,Low income
6,AFG,Afghanistan,613.856689167623,20484885119.7348,33370794.0,3.35558166118149,8.23068046569824,62.966,,,,,2596259.0,300421.0,4.67399603536339,57.2475,,,0.122607965680338,,49.9490368064862,42975262.5,2014,South Asia,Afghanistan,Low income
7,AFG,Afghanistan,637.165523187024,20561069558.2152,32269589.0,3.49458904891961,,62.525,,,,,2556483.0,16861.0,7.38577178397857,55.3775,,,0.139147883462386,,55.6286122752478,48311346.0,2013,South Asia,Afghanistan,Low income
8,AFG,Afghanistan,641.871479157539,20001598505.7042,31161376.0,3.40758697372751,,62.054,,,,,2586132.0,16184.0,6.44121280934118,50.9214,,,0.18025559130451,,60.7821384023737,56823660.0,2012,South Asia,Afghanistan,Low income
9,AFG,Afghanistan,591.162759035926,17804292964.1045,30117413.0,3.14312590262153,3.62226009368896,61.553,,,,,2664423.0,3011.0,11.8041858089129,46.747007738581,,,0.239145094139735,,57.6551722063408,52173421.0,2011,South Asia,Afghanistan,Low income
10,AFG,Afghanistan,543.303041863931,15856574731.4411,29185507.0,2.74657628012835,,61.028,,,,,3054699.0,6434.0,2.1785375238942,46.4524610013175,,,0.169526340794991,,52.5796000411513,190774431.98,2010,South Asia,Afghanistan,Low income
11,AFG,Afghanistan,438.076034406941,12439087076.7667,28394813.0,2.39702099079878,3.77498006820679,60.484,,,,,2887114.0,36.0,-6.81116108898995,50.325,,,0.156872876427234,,49.6634257108719,56107246.5,2009,South Asia,Afghanistan,Low income
12,AFG,Afghanistan,364.6607447985,10109225813.6696,27722276.0,2.26827714453847,,59.93,,,,,2833116.0,37.0,26.4186641547444,50.2496147435897,,,0.119223720563961,,,46033740.0,2008,South Asia,Afghanistan,Low income
13,AFG,Afghanistan,359.693237501395,9747879531.86311,27100536.0,2.49384229934363,,59.375,,,,,3057655.0,43.0,8.68057078513406,49.9620177703972,,,0.0682774667121321,,,188690000.0,2007,South Asia,Afghanistan,Low income
14,AFG,Afghanistan,263.733691663044,6971285594.68013,26433049.0,2.99047809385985,,58.826,,,,,2107510.0,34.0,6.78459655001657,49.9253308333333,,,0.0579233049075179,,,238000000.0,2006,South Asia,Afghanistan,Low income
15,AFG,Afghanistan,242.031284871985,6209137624.77181,25654277.0,3.68273179651497,,58.29,,,,,2166139.0,31.0,12.6862687216715,49.4945975,,,0.0505780579058494,,,271000000.0,2005,South Asia,Afghanistan,Low income
16,AFG,Afghanistan,211.382116942655,5226778808.89209,24726684.0,4.3215392956708,1.19937002658844,57.772,,,,,2414460.0,31.0,,47.8453125,,,0.0400623125237344,,,186900000.0,2004,South Asia,Afghanistan,Low income
17,AFG,Afghanistan,190.683814295088,4515558808.10994,23680871.0,4.66836149396509,1.20234000682831,57.271,,,,,2136039.0,24.0,,48.7627535833333,,,0.0552407958407465,,,57800000.0,2003,South Asia,Afghanistan,Low income
18,AFG,Afghanistan,179.426610967229,4055179566.34981,22600770.0,4.49671956064979,,56.784,,,,,2510294.0,,,47.263,,,0.0540211456071763,,,50000000.0,2002,South Asia,Afghanistan,Low income
19,AFG,Afghanistan,,,21606988.0,3.90280570094654,,56.308,,,,,3809763.0,10.0,,47.500014516129,,,,,,680000.0,2001,South Asia,Afghanistan,Low income
20,AFG,Afghanistan,,,20779953.0,2.97505284644171,,55.841,,,,,3587327.0,,,47.3575747311828,,,,,,170000.0,2000,South Asia,Afghanistan,Low income
21,AFG,Afghanistan,,,20170844.0,2.17043897031679,,55.376,,,,,2601690.0,,,46.6195310771889,,,,,,6040000.0,1999,South Asia,Afghanistan,Low income
22,AFG,Afghanistan,,,19737765.0,1.9473185295401,,54.906,,,,,2667118.0,,,47.5,,,,,,-10000.0,1998,South Asia,Afghanistan,Low income
23,AFG,Afghanistan,,,19357126.0,2.63653889246912,,54.424,,,,,2676675.0,5.0,,47.5,,,,,,-1460000.0,1997,South Asia,Afghanistan,Low income
24,AFG,Afghanistan,,,18853437.0,4.01946819541008,,53.924,,,,,2674234.0,18779.0,,47.5,,,,,,690000.0,1996,South Asia,Afghanistan,Low income
25,AFG,Afghanistan,,,18110657.0,5.88425681193136,,53.398,,,,,2679132.0,19605.0,,36.5671446236559,,,,,,-93326.6667,1995,South Asia,Afghanistan,Low income
26,AFG,Afghanistan,,,17075727.0,7.6597770327302,,52.842,,,,,2731166.0,19134.0,,38.818463,,,,,,20000.0,1994,South Asia,Afghanistan,Low income
27,AFG,Afghanistan,,,15816603.0,8.79088864126614,,52.256,,,,,3374575.0,32131.0,,39.276429270146,,,,,,-20000.0,1993,South Asia,Afghanistan,Low income
28,AFG,Afghanistan,,,14485546.0,8.54612019554754,,51.641,,,,,4552153.0,60025.0,,39.276429270146,,,,,,360000.0,1992,South Asia,Afghanistan,Low income
29,AFG,Afghanistan,,,13299017.0,6.90015617480998,,50.999,,,,,6306301.0,38.0,,39.276429270146,,,,,,-280000.0,1991,South Asia,Afghanistan,Low income
30,AFG,Afghanistan,,,12412308.0,4.47689650838849,2.21141004562378,50.331,,,,,6339095.0,50.0,,39.276429270146,,,,,,10.0,1990,South Asia,Afghanistan,Low income
31,AFG,Afghanistan,,,11868877.0,2.1363545952905,,49.64,,,,,5643989.0,,,39.276429270146,,,,,,0.0,1989,South Asia,Afghanistan,Low income
32,AFG,Afghanistan,,,11618005.0,0.116016612231607,,48.93,,,,,5622982.0,,,39.276429270146,,,,,,0.0,1988,South Asia,Afghanistan,Low income
33,AFG,Afghanistan,,,11604534.0,-1.12804091251677,1.70773994922638,48.211,,,,,5511740.0,,,39.276429270146,,,,,,400000.0,1987,South Asia,Afghanistan,Low income
34,AFG,Afghanistan,,,11736179.0,-1.70677200088966,2.1554000377655,47.486,,,,,5094283.0,,,39.276429270146,,,,,,0.0,1986,South Asia,Afghanistan,Low income
35,AFG,Afghanistan,,,11938208.0,-2.20436802009669,,46.761,,,,,4653193.0,,,39.276429270146,,,,,,0.0,1985,South Asia,Afghanistan,Low income
36,AFG,Afghanistan,,,12204292.0,-2.6954804935256,,46.04,,,,,4417651.0,,,39.276429270146,,,,,,0.0,1984,South Asia,Afghanistan,Low income
37,AFG,Afghanistan,,,12537730.0,-2.71294766241586,,45.324,,,,,4712735.0,,,39.276429270146,,,,,,0.0,1983,South Asia,Afghanistan,Low income
38,AFG,Afghanistan,,,12882528.0,-2.21965641097275,1.72288000583649,44.617,,,,,4488214.0,,,39.276429270146,,,,,,100000.0,1982,South Asia,Afghanistan,Low income
39,AFG,Afghanistan,264.111317453061,3478787909.09091,13171673.0,-1.3935442488808,,43.923,,,,,3879984.0,,,38.5616585156635,,,,,,180000.0,1981,South Asia,Afghanistan,Low income
40,AFG,Afghanistan,272.655285650232,3641723321.99546,13356511.0,-0.407546008918242,,43.244,,,,,1734921.0,,,34.3694584015197,,,,,,9000000.0,1980,South Asia,Afghanistan,Low income
41,AFG,Afghanistan,275.738197619262,3697940409.61098,13411056.0,0.52225998440758,1.9456399679184,42.585,,,,,500000.0,,,33.8461643196361,,,,,,1200000.0,1979,South Asia,Afghanistan,Low income
42,AFG,Afghanistan,247.354106347038,3300000108.88889,13341198.0,1.28161659455905,1.80833005905151,41.944,,,,,,,,34.9296307738452,,,,,24.7138040330125,,1978,South Asia,Afghanistan,Low income
43,AFG,Afghanistan,224.224797281134,2953333417.77778,13171306.0,1.74783888214604,1.40822005271912,41.32,,,,,,,,34.9296307738452,,,,,26.4860798295929,-240000.0,1977,South Asia,Afghanistan,Low income
44,AFG,Afghanistan,197.445507551145,2555555566.66667,12943093.0,1.98142011036831,1.26757001876831,40.715,,,,,,,,34.9296307738452,,,,,28.0869566604915,40000.0,1976,South Asia,Afghanistan,Low income
